Locality_ID,Cluster,Latitude,Longitude,Mean annual temperature,Total annual precipitation,Temperature range,Disturbance,Hemisphere,Continent,Pitfall days,Transect length,Species richness,PIE
Andersen_etal_2006_04,32,-12.59,131.09,27.2,1484,18,Undisturbed,South,Oceania,90,40,34,0.9342900802
Andersen_etal_2007_01,32,-12.7,130.98,27.4,1500,17.8,Undisturbed,South,Oceania,300,20,24,0.7081070395
Andersen_etal_2010_01,30,-14.8,125.68,27.3,1398,16.4,Undisturbed,South,Oceania,160,50,36,0.7740924792
Andersen_etal_2010_02,30,-14.8,125.68,27.3,1398,16.4,Undisturbed,South,Oceania,160,50,55,0.8723089345
Andersen_etal_2010_03,30,-14.8,125.68,27.3,1398,16.4,Undisturbed,South,Oceania,160,50,38,0.8329166608
Andersen_etal_2010_04,30,-14.8,125.68,27.3,1398,16.4,Undisturbed,South,Oceania,160,50,45,0.8613783537
Andersen_etal_2010_05,30,-14.8,125.68,27.3,1398,16.4,Undisturbed,South,Oceania,160,50,52,0.8273101497
Andersen_etal_2010_06,30,-14.8,125.68,27.3,1398,16.4,Undisturbed,South,Oceania,160,50,59,0.8610508627
Andersen_etal_2010_07,30,-14.8,125.68,27.3,1398,16.4,Undisturbed,South,Oceania,160,50,36,0.7812257646
Andersen_etal_2010_08,30,-14.8,125.68,27.3,1398,16.4,Undisturbed,South,Oceania,160,50,46,0.7253208819
Andersen_etal_2010_09,30,-14.8,125.68,27.3,1398,16.4,Undisturbed,South,Oceania,160,50,40,0.8943085612
Andersen_etal_2010_10,30,-14.8,125.68,27.3,1398,16.4,Undisturbed,South,Oceania,160,50,42,0.8688383232
Andersen_etal_2010_11,30,-14.8,125.68,27.3,1398,16.4,Undisturbed,South,Oceania,160,50,43,0.8860523781
Andersen_etal_2010_12,30,-14.8,125.68,27.3,1398,16.4,Undisturbed,South,Oceania,160,50,46,0.9375361148
Andersen_etal_2010_13,30,-14.8,125.68,27.3,1398,16.4,Undisturbed,South,Oceania,160,50,45,0.8859938301
Andersen_etal_2010_14,30,-14.8,125.68,27.3,1398,16.4,Undisturbed,South,Oceania,160,50,39,0.869178485
Andersen_etal_2010_15,30,-14.8,125.68,27.3,1398,16.4,Undisturbed,South,Oceania,160,50,51,0.8417008005
Andersen_etal_2010_16,30,-14.8,125.68,27.3,1398,16.4,Undisturbed,South,Oceania,160,50,55,0.8439345375
Andersen_etal_2012_01,32,-11.38,130.51,27,1866,14.5,Undisturbed,South,Oceania,20,45,23,0.9202608882
Andersen_etal_2012_02,32,-11.38,130.51,27,1866,14.5,Undisturbed,South,Oceania,20,45,19,0.9224137929
Andersen_etal_2012_03,32,-11.38,130.51,27,1866,14.5,Undisturbed,South,Oceania,20,45,22,0.9320388347
Andersen_etal_2012_04,32,-11.38,130.51,27,1866,14.5,Undisturbed,South,Oceania,20,45,19,0.8985560899
Andersen_etal_2012_05,32,-11.38,130.51,27,1866,14.5,Undisturbed,South,Oceania,20,45,19,0.9289191817
Andersen_etal_2012_06,32,-11.38,130.51,27,1866,14.5,Undisturbed,South,Oceania,20,45,16,0.895212285
Andersen_etal_2012_07,32,-11.44,130.44,27.1,1902,14.5,Undisturbed,South,Oceania,20,45,21,0.9373401539
Andersen_etal_2012_08,32,-11.44,130.44,27.1,1902,14.5,Undisturbed,South,Oceania,20,45,25,0.9539069362
Andersen_etal_2012_09,32,-11.44,130.44,27.1,1902,14.5,Undisturbed,South,Oceania,20,45,19,0.8918918919
Andersen_etal_2012_10,32,-11.66,130.66,26.9,1792,14.7,Undisturbed,South,Oceania,20,45,24,0.936517181
Andersen_etal_2012_11,32,-11.66,130.66,26.9,1792,14.7,Undisturbed,South,Oceania,20,45,19,0.9062374244
Andersen_etal_2012_12,32,-11.66,130.66,26.9,1792,14.7,Undisturbed,South,Oceania,20,45,13,0.9328063237
Andersen_etal_2012_13,32,-11.66,130.66,26.9,1792,14.7,Undisturbed,South,Oceania,20,45,19,0.881661442
Andersen_etal_2012_14,32,-11.38,130.67,27.2,1771,14.4,Undisturbed,South,Oceania,20,45,18,0.8962025316
Andersen_etal_2012_15,32,-11.38,130.67,27.2,1771,14.4,Undisturbed,South,Oceania,20,45,25,0.9032474802
